x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
1.0,1.0,1.0,0.8092338914256725,0.0,0.043261511942871214,0.05013582342954176,0.5562023413167224,0.26858854663424747,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.5124113475177305,0.0,0.5125205875432759,0.18528487947406866,0.0,0.2,0.34616104868913805,0.6170212765957447,1.0,1.0
1.0,0.9855072463768116,1.0,0.8335870116692032,0.43289461819604097,0.4117212509234179,0.13679117147708006,0.28997959402856865,0.33715291304523076,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.47517730496453897,0.0,0.4751773049645369,0.2803031409788166,0.0,0.2,0.34616104868913805,0.4751773049645369,1.0,1.0
1.0,0.5507246376811594,1.0,0.8351090816844243,0.6523497745139255,0.6424525978822951,0.13679117147708006,0.28997959402856865,0.33715291304523076,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.4485815602836879,0.0,0.44858156028368595,0.32505843681519353,0.0,0.2,0.34616104868913805,0.44858156028368595,1.0,1.0
1.0,0.391304347826087,1.0,0.8899036022323691,0.788818326496341,0.8726114257572027,0.054634974533106895,0.6163999570400601,0.2721484128370119,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.44148936170212766,0.0,0.4414893617021277,0.3342585829072315,0.0,0.2,0.34616104868913805,0.4414893617021277,1.0,1.0
1.0,0.15942028985507245,1.0,0.9208523592085233,1.0,0.9921718788475746,0.03331069609507657,0.635205670712061,0.2552759903816448,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.46985815602836883,0.0,0.4698581560283689,0.3409751643535427,0.0,0.2,0.34616104868913805,0.4698581560283689,1.0,1.0
1.0,0.4782608695652174,1.0,0.0,0.5298577288850529,0.5486333415414922,0.6979286926994908,0.17876704972613003,0.7811421125455061,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.0,0.0,0.0,0.3589116143170197,0.0,0.2,0.34616104868913805,0.0,1.0,1.0
1.0,0.4782608695652174,1.0,0.1283612379502795,0.5515596656880575,0.5649913814331445,0.6167741935483869,0.28997959402856865,0.7169301863220539,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.06560283687943266,0.0,0.06560283687943261,0.3441490138787436,0.0,0.2,0.34616104868913805,0.06560283687943261,1.0,1.0
1.0,0.4927536231884058,1.0,0.26889903602232385,0.5727135501262979,0.5823639497660674,0.520780984719864,0.28997959402856865,0.6409774183581629,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.15425531914893617,0.0,0.1542553191489362,0.30358290723155584,0.0,0.2,0.34616104868913805,0.1542553191489362,1.0,1.0
1.0,0.34782608695652173,1.0,0.40233384069000516,0.591169330614931,0.5971312484609701,0.43067980496418423,0.28997959402856865,0.5696866043227585,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.2039007092198581,0.0,0.2039007092198581,0.327936449963477,0.0,0.2,0.34616104868913805,0.2039007092198581,1.0,1.0
1.0,0.2753623188405797,1.0,0.5306950786402841,0.6075500068506544,0.6098965771977345,0.34570458404074716,0.28997959402856865,0.5024516059698287,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.27304964539007087,0.0,0.2730496453900688,0.3218334550766983,0.0,0.2,0.34616104868913805,0.2730496453900688,1.0,1.0
1.0,0.18840579710144928,1.0,0.6544901065449009,0.6243241565790288,0.6231248460970203,0.26015280135823415,0.28997959402856865,0.4347604142878253,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.3457446808510638,0.0,0.3457446808510638,0.4524653031409789,0.0,0.2,0.34616104868913805,0.3457446808510638,1.0,1.0
1.0,0.2028985507246377,1.0,0.7727042110603758,0.6388615968700119,0.6342304851021917,0.17645161290322592,0.28997959402856865,0.36853346945903487,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.41312056737588654,0.0,0.41312056737588654,0.3090248356464572,0.0,0.2,0.34616104868913805,0.41312056737588654,1.0,1.0
1.0,0.4057971014492754,1.0,0.8878741755454084,0.652064037810929,0.6440334892883527,0.09485568760611235,0.28997959402856865,0.30397227334399085,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.4343971631205674,0.0,0.4343971631205674,0.3104565376186998,0.0,0.2,0.34616104868913805,0.4343971631205674,1.0,1.0
1.0,0.4927536231884058,1.0,1.0,0.6650837946302578,0.6537182959862103,0.018370118845500858,0.4972613038341749,0.24345454789699236,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.5567375886524822,0.0,0.5567375886524822,0.30853907962016064,0.0,0.2,0.34616104868913805,0.5567375886524822,1.0,1.0
1.0,0.855072463768116,1.0,0.052765093860984644,0.041294808843316815,0.0,0.6167741935483869,0.6637310707765008,0.7169301863220539,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.19858156028368798,0.0,0.19858156028368798,0.12819576333089852,0.0,0.2,0.34616104868913805,0.19858156028368798,1.0,1.0
1.0,0.5072463768115942,1.0,0.11669203450025376,0.5031577418837307,0.4117212509234179,0.6167741935483869,0.28997959402856865,0.7169301863220539,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.07801418439716314,0.0,0.07801418439716315,0.29839298758217675,0.0,0.2,0.34616104868913805,0.07801418439716315,1.0,1.0
1.0,0.15942028985507245,1.0,0.14814814814814814,0.8301154774437807,0.8293523762620046,0.6167741935483869,0.28997959402856865,0.7169301863220539,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.05851063829787229,0.0,0.05851063829787231,0.3871439006574141,0.0,0.2,0.34616104868913805,0.05851063829787231,1.0,1.0
1.0,0.028985507246376812,1.0,0.16235413495687478,0.9924232931623439,1.0,0.6167741935483869,0.28997959402856865,0.7169301863220539,0.0,0.7688584325882415,0.0,0.13333333333333364,0.0,1.0,0.33368805249843625,0.006174030484275266,0.054964539007092174,0.0,0.05496453900709216,0.4075967859751644,0.0,0.2,0.34616104868913805,0.05496453900709216,1.0,1.0
