z1,z2,z3,z4,z5,z6,z7,z8,z9
1.0,0.9583333333333335,0.5882352941176476,0.03358040366424331,0.9590372761042423,0.16244376650787246,0.5570781132584647,0.6106989642340787,1.0
0.8333333333333333,0.7916666666666667,0.1092436974789917,0.22868323221063946,1.0,0.15144123152447486,0.806988318849302,0.7930771705210584,0.9855072463768112
1.0,0.9583333333333335,0.3193277310924373,0.5481633415582596,0.8134343514059535,0.1327896092104582,0.749297775496925,0.8226062180884182,0.5507246376811596
1.0,0.9166666666666662,0.19327731092436992,0.7763681641072225,0.7765032991553595,0.12373255670055228,0.8451624284755427,0.9001497474124724,0.39130434782608736
1.0,0.9166666666666662,0.2184873949579834,0.993165806483281,0.6996717653132973,0.11735639449826431,0.8256777429107829,0.9461720892895906,0.15942028985507228
1.0,0.9583333333333335,0.3697478991596642,0.5830872138983334,0.11625681418083088,0.22010623424586628,0.7120170771163492,0.0,0.4782608695652168
1.0,0.9583333333333335,0.4873949579831937,0.5128547668957832,0.22157259838904092,0.21418074613213156,0.6272882171604984,0.14327700220426098,0.4782608695652168
1.0,0.9583333333333335,0.49579831932773155,0.4949976573869654,0.34000116497236116,0.19032007649380847,0.6213539001207917,0.2848395787411217,0.4927536231884067
1.0,0.9583333333333335,0.6890756302521015,0.5142542403593164,0.3917065589926034,0.19485053309443814,0.48899022912173096,0.39926524614254255,0.347826086956521
1.0,0.9583333333333335,0.7731092436974797,0.5330867757325526,0.46373440657759146,0.18500865158292987,0.4338029100971389,0.5313817239645773,0.2753623188405804
1.0,0.9583333333333335,0.8319327731092445,0.5810280671844305,0.5230010427270473,0.17177483125753232,0.39598156371752297,0.6188347116481935,0.18840579710144875
1.0,0.9583333333333335,0.7815126050420176,0.5960476994684946,0.6172903559996283,0.158101330277331,0.42835958943807073,0.7645666577802636,0.20289855072463753
1.0,0.9583333333333335,0.49579831932773155,0.5736350259664176,0.7904152133507016,0.15215177302656058,0.6213539001207895,0.8010149501471414,0.40579710144927505
0.6666666666666664,0.6249999999999999,0.05042016806722694,0.5976565627139719,0.9148656465664051,0.11433746250425621,0.7456267419359255,1.0,0.4927536231884067
1.0,0.9583333333333335,0.7058823529411772,0.08290288399493566,0.27968151494433535,0.2268812756527396,0.47784183603233993,0.015188928102528233,0.8550724637681154
1.0,0.9583333333333335,0.6050420168067232,0.4197485626568688,0.22069342911108586,0.21983303835355178,0.5455853879173586,0.11654500179299979,0.5072463768115955
1.0,0.9583333333333335,0.5042016806722693,0.8049827131637768,0.12755242643418052,0.20869274330229182,0.615434956959421,0.22655782199084318,0.15942028985507228
1.0,0.9583333333333335,0.4117647058823533,1.0,0.09429742933817038,0.2096386021092851,0.6813988951349316,0.21668595450903624,0.028985507246376475
1.0,0.9583333333333335,0.7058823529411772,0.060961015953267035,0.6291562121589469,0.19150224376300817,0.47784183603234104,0.33181580249047976,0.884057971014493
1.0,0.9583333333333335,0.8739495798319327,0.3737440117012405,0.522425249632552,0.1909926686863177,0.36936359935372054,0.48998421169046796,0.39130434782608736
